valve_size,motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost,total_cost
1,10.3,5,4,NaN,NaN,NaN,NaN,NaN,NaN
1,12,5,4,NaN,NaN,NaN,NaN,NaN,NaN
1,16,5,4,2.4088416800885,112.167995655919,46.9244298969894,10.16,15,25.16
1,22.9,5,4,0.0372696301445698,577.666678560521,196.812410096401,10.229,15,25.229
1,28.1,5,4,0.128582522485406,730.003477850068,215.067231585596,10.281,15,25.281
1,32,5,4,0.136727986909629,843.274158082101,245.904096669811,10.32,15,25.32
1,4.93,6,1,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,6,1,NaN,NaN,NaN,NaN,NaN,NaN
1,12,6,1,NaN,NaN,NaN,NaN,NaN,NaN
1,16,6,1,0.171738514162948,230.729767519431,119.519173392562,12.192,3.75,15.942
1,22.9,6,1,0.347598779945917,218.013970003528,96.165953331776,12.2748,3.75,16.0248
1,28.1,6,1,0.363483566345054,210.56493509088,105.885037051223,12.3372,3.75,16.0872
1,32,6,1,0.352480982114754,206.431035294305,107.464127016271,12.384,3.75,16.134
1,4.93,6,2,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,6,2,NaN,NaN,NaN,NaN,NaN,NaN
1,12,6,2,NaN,NaN,NaN,NaN,NaN,NaN
1,16,6,2,0.0542049835647557,410.083903866708,189.338454578334,12.192,7.5,19.692
1,22.9,6,2,0.256804300664814,435.328308917766,178.545803047135,12.2748,7.5,19.7748
1,28.1,6,2,0.270289947083994,420.675834268627,191.166706799473,12.3372,7.5,19.8372
1,32,6,2,0.282457730611253,412.391227005208,198.309430410888,12.384,7.5,19.884
1,4.93,6,3,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,6,3,NaN,NaN,NaN,NaN,NaN,NaN
1,12,6,3,NaN,NaN,NaN,NaN,NaN,NaN
1,16,6,3,0.0352429308666606,601.676319316789,257.409086133538,12.192,11.25,23.442
1,22.9,6,3,0.171940222970864,652.07986863062,265.095411567479,12.2748,11.25,23.5248
1,28.1,6,3,0.198597943139481,630.224602877224,258.564113550019,12.3372,11.25,23.5872
1,32,6,3,0.201065005169489,618.13547238703,262.293948230626,12.384,11.25,23.634
1,4.93,6,4,NaN,NaN,NaN,NaN,NaN,NaN
1,10.3,6,4,NaN,NaN,NaN,NaN,NaN,NaN
1,12,6,4,NaN,NaN,NaN,NaN,NaN,NaN
1,16,6,4,0.0299874644246366,716.756764880158,317.243443676,12.192,15,27.192
