valve_size,motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost,total_cost
1,16,5,2,0.0216596038203741,379.1244933425,137.006689826898,10.16,7.5,17.66
1,22.9,5,2,0.105353096223715,369.747259163753,142.961936133101,10.229,7.5,17.729
1,28.1,5,2,0.149852268584277,365.612027952454,176.786674216953,10.281,7.5,17.781
1,45.6,5,2,0.221326916167433,358.477006898339,210.038239415826,10.456,7.5,17.956
1,4.93,5,3,0.00998311614186209,488.478454239453,136.48428209154,10.0493,11.25,21.2993
1,10.3,5,3,0.0933937920077298,428.46751377261,205.971115907645,10.103,11.25,21.353
1,12,5,3,0.104812206851754,442.623660443462,204.759689653956,10.12,11.25,21.37
1,16,5,3,0.0206171719253977,462.526748029683,136.029255712578,10.16,11.25,21.41
1,22.9,5,3,0.0468338701538909,554.364842368145,203.501175579742,10.229,11.25,21.479
1,28.1,5,3,0.0915379787983958,548.229738846265,251.100000867965,10.281,11.25,21.531
1,45.6,5,3,0.174140253875631,537.569940469406,313.050712419563,10.456,11.25,21.706
1,4.93,5,4,0.00998252506464919,488.466886796209,136.507569363576,10.0493,15,25.0493
1,10.3,5,4,0.0170296762437466,553.501564022149,189.084949782906,10.103,15,25.103
1,12,5,4,0.022718984472911,588.928380681171,244.389126137614,10.12,15,25.12
1,16,5,4,0.0205460335274096,494.215835454841,135.140397061467,10.16,15,25.16
1,22.9,5,4,0.017907665217182,652.745811988769,184.91531707774,10.229,15,25.229
1,28.1,5,4,0.0437104360974385,730.74698351898,316.202861352127,10.281,15,25.281
1,45.6,5,4,0.13937744943016,716.668630339509,414.789240386997,10.456,15,25.456
1,4.93,6,1,0.0181171290271013,245.370956192483,100.946328193276,12.05916,3.75,15.80916
1,10.3,6,1,1.16993000973689,178.892748803585,119.652451844712,12.1236,3.75,15.8736
1,12,6,1,0.915115507487562,179.087643131436,108.145420989337,12.144,3.75,15.894
1,16,6,1,0.0974765877638772,185.271010550044,95.1479052565891,12.192,3.75,15.942
1,22.9,6,1,0.215902576369115,181.530319173257,92.9416698349289,12.2748,3.75,16.0248
1,28.1,6,1,0.241473370108089,180.06616175634,101.733339744059,12.3372,3.75,16.0872
1,45.6,6,1,0.258088437084828,177.528910631594,113.079386175372,12.5472,3.75,16.2972
1,4.93,6,2,0.0125866350701701,490.642406995382,145.741153607791,12.05916,7.5,19.55916
1,10.3,6,2,0.237090431598734,305.88203250115,155.291544059093,12.1236,7.5,19.6236
1,12,6,2,0.302778417189744,311.969096144346,165.363240082347,12.144,7.5,19.644
1,16,6,2,0.0495140036815645,369.564294882707,123.403381380311,12.192,7.5,19.692
1,22.9,6,2,0.148155724790572,362.833927575067,178.565482537286,12.2748,7.5,19.7748
1,28.1,6,2,0.185603658844416,359.893221284128,194.920317911995,12.3372,7.5,19.8372
1,45.6,6,2,0.221860483389765,354.849320182762,217.045284076561,12.5472,7.5,20.0472
1,4.93,6,3,0.0122250922497601,565.105486620168,151.287800291371,12.05916,11.25,23.30916
1,10.3,6,3,0.0617624681869245,458.076592752421,200.077645118754,12.1236,11.25,23.3736
1,12,6,3,0.0800203861044608,467.400889319406,203.156145364793,12.144,11.25,23.394
1,16,6,3,0.0138557389187593,544.776085987217,129.871675771559,12.192,11.25,23.442
1,22.9,6,3,0.0861345163045112,544.084232215528,254.3649286549,12.2748,11.25,23.5248
1,28.1,6,3,0.12428804608242,539.715339569301,287.731204035784,12.3372,11.25,23.5872
1,45.6,6,3,0.190252670738178,532.184866555411,323.638030345516,12.5472,11.25,23.7972
1,4.93,6,4,0.0122268319551041,565.391591896087,151.287904617643,12.05916,15,27.05916
1,10.3,6,4,0.0153264409380129,571.65141913893,173.83402515877,12.1236,15,27.1236
1,12,6,4,0.0209212003731734,622.482082065342,238.620373384455,12.144,15,27.144
1,16,6,4,0.00842013594894996,583.969628594669,118.885545256538,12.192,15,27.192
1,22.9,6,4,0.0404941101649936,725.313610333355,329.191773632494,12.2748,15,27.2748
1,28.1,6,4,0.077392211713411,719.483570489119,362.025945901493,12.3372,15,27.3372
1,45.6,6,4,0.167655374596896,709.516049470473,430.386275259292,12.5472,15,27.5472
1,4.93,7,1,0.0191060871737614,244.678284833293,98.5365743716693,14.06902,3.75,17.81902
1,10.3,7,1,0.620874298191845,166.235097032502,111.727585666868,14.1442,3.75,17.8942
1,12,7,1,0.667954581533809,163.436846988928,114.388193026699,14.168,3.75,17.918
1,16,7,1,0.168538859427204,181.940192281881,81.5451500666924,14.224,3.75,17.974
1,22.9,7,1,0.215741902846202,179.363406839586,100.210611054075,14.3206,3.75,18.0706
1,28.1,7,1,0.232971326587435,178.279252385403,105.543887743587,14.3934,3.75,18.1434
1,45.6,7,1,0.268813406082733,176.394775223263,116.006115759945,14.6384,3.75,18.3884
1,4.93,7,2,0.0152099912522254,490.188278919032,149.683945284448,14.06902,7.5,21.56902
1,10.3,7,2,0.213732205316921,317.092565251089,160.203049215629,14.1442,7.5,21.6442
1,12,7,2,0.222021611195596,321.436277489921,165.726543208549,14.168,7.5,21.668
1,16,7,2,0.101927165706195,363.598149196408,147.068591810902,14.224,7.5,21.724
1,22.9,7,2,0.169020918210839,358.583149012239,191.327917768926,14.3206,7.5,21.8206
1,28.1,7,2,0.196366910736579,356.376258041557,202.746985573517,14.3934,7.5,21.8934
1,45.6,7,2,0.230237166822098,352.638994906988,228.929467424014,14.6384,7.5,22.1384
1,4.93,7,3,0.0141674250393498,596.445093339318,161.453328691038,14.06902,11.25,25.31902
1,10.3,7,3,0.0543020909463136,475.166697717236,205.913199033827,14.1442,11.25,25.3942
1,12,7,3,0.0838861750939215,481.804874716573,214.47954423007,14.168,11.25,25.418
1,16,7,3,0.0436522249198489,545.211924488133,215.932556633826,14.224,11.25,25.474
1,22.9,7,3,0.121665494632627,537.756457246289,280.072713397053,14.3206,11.25,25.5706
1,28.1,7,3,0.155069268400493,534.57510234245,313.35693256428,14.3934,11.25,25.6434
1,45.6,7,3,0.203465877670225,528.897918332486,332.35563108802,14.6384,11.25,25.8884
1,4.93,7,4,0.0140213969031654,601.066290402273,160.916575016817,14.06902,15,29.06902
1,10.3,7,4,0.0159340550191622,603.048108291899,180.943952321819,14.1442,15,29.1442
1,12,7,4,0.025831580826541,641.952573743815,271.761758729683,14.168,15,29.168
1,16,7,4,0.0185569449556273,655.012528448885,212.197944970691,14.224,15,29.224
1,22.9,7,4,0.0698817147166211,716.880032228304,361.366977209375,14.3206,15,29.3206
1,28.1,7,4,0.112367083685779,712.570717342456,393.457138269021,14.3934,15,29.3934
1,45.6,7,4,0.179992532661773,705.14471271215,441.065198326959,14.6384,15,29.6384
1,4.93,8,1,0.0214563228043062,230.579038614324,86.0227302900544,16.07888,3.75,19.82888
1,10.3,8,1,0.447635077007196,162.20165029728,105.521873201491,16.1648,3.75,19.9148
1,12,8,1,0.46498445410122,181.955157030592,109.799777647171,16.192,3.75,19.942
1,16,8,1,0.198651540782039,179.976379712492,93.9278472227128,16.256,3.75,20.006
1,22.9,8,1,0.246803033127093,177.942207728804,105.842744810485,16.3664,3.75,20.1164
1,28.1,8,1,0.236440066195466,177.10304088746,108.40757665099,16.4496,3.75,20.1996
1,45.6,8,1,0.285107351967237,175.653178638126,118.775979893852,16.7296,3.75,20.4796
1,4.93,8,2,0.0179266592748926,466.682196734053,147.176853190384,16.07888,7.5,23.57888
1,10.3,8,2,0.231310013760873,334.3985737175,170.598459508926,16.1648,7.5,23.6648
1,12,8,2,0.212123181140717,363.809463418328,200.311676475262,16.192,7.5,23.692
1,16,8,2,0.14570090090752,359.678566657986,179.917816015636,16.256,7.5,23.756
1,22.9,8,2,0.187233408764288,355.772107721751,198.21887215599,16.3664,7.5,23.8664
1,28.1,8,2,0.208930242591883,354.074569121253,208.614732847633,16.4496,7.5,23.9496
1,45.6,8,2,0.234640701231867,351.189948835436,232.094963358399,16.7296,7.5,24.2296
1,4.93,8,3,0.0169395719719835,585.718912104796,163.122853223416,16.07888,11.25,27.32888
1,10.3,8,3,0.0608619817962517,485.968288572983,216.742946239493,16.1648,11.25,27.4148
1,12,8,3,0.0936810666604387,490.94592335723,228.396889145876,16.192,11.25,27.442
1,16,8,3,0.0733574122914469,539.3852723504,256.318123587017,16.256,11.25,27.506
1,22.9,8,3,0.143292206248995,533.594346966051,306.255712161732,16.3664,11.25,27.6164
1,28.1,8,3,0.172563250052241,531.063035434514,315.680378692074,16.4496,11.25,27.6996
1,45.6,8,3,0.216298285933432,526.734679666846,340.511370029131,16.7296,11.25,27.9796
1,4.93,8,4,0.0166017581194731,608.564429493439,164.572285871621,16.07888,15,31.07888
1,10.3,8,4,0.0166801334785754,640.972822033745,190.690567825451,16.1648,15,31.1648
1,12,8,4,0.0312865382245747,654.291602610547,290.917668778087,16.192,15,31.192
1,16,8,4,0.0331497880936149,719.000995394201,343.817463341326,16.256,15,31.256
1,22.9,8,4,0.100771103082111,711.368336093754,394.53098121781,16.3664,15,31.3664
1,28.1,8,4,0.138440924481648,708.029599171633,430.382396027575,16.4496,15,31.4496
1,45.6,8,4,0.199094042146308,702.29894413821,453.292970833606,16.7296,15,31.7296
2,4.93,1,1,NaN,NaN,NaN,NaN,NaN,NaN
2,10.3,1,1,NaN,NaN,NaN,NaN,NaN,NaN
2,12,1,1,NaN,NaN,NaN,NaN,NaN,NaN
2,16,1,1,NaN,NaN,NaN,NaN,NaN,NaN
2,22.9,1,1,NaN,NaN,NaN,NaN,NaN,NaN
2,28.1,1,1,NaN,NaN,NaN,NaN,NaN,NaN
2,45.6,1,1,NaN,NaN,NaN,NaN,NaN,NaN
