valve_size,motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost,total_cost
0.6,28.1,4,3,0.11584757288587,640.762654322926,180.768557734415,8.2248,11.25,19.4748
0.6,45.6,4,3,0.177991659308823,963.714746555875,282.914727610892,8.3648,11.25,19.6148
0.6,4.93,4,4,6.17603513534375,67.8261222339,36.5077106238394,8.03944,15,23.03944
0.6,10.3,4,4,0.199905777296922,550.369970440811,236.076087873091,8.0824,15,23.0824
0.6,12,4,4,0.19279959701012,588.793747610162,242.136192434271,8.096,15,23.096
0.6,16,4,4,0.0679345082325615,394.511962129327,98.3247842916205,8.128,15,23.128
0.6,22.9,4,4,0.0940592680544855,536.312342386434,143.117567059559,8.1832,15,23.1832
0.6,28.1,4,4,0.115847287047611,640.762687128129,180.768211507087,8.2248,15,23.2248
0.6,45.6,4,4,0.177991645078568,963.714740695229,282.914703401523,8.3648,15,23.3648
0.6,4.93,5,1,0.0310275803227857,174.393513986423,38.6082213049526,10.0493,3.75,13.7993
0.6,10.3,5,1,0.193485555522356,418.576494042864,190.542747198118,10.103,3.75,13.853
0.6,12,5,1,0.204559948380238,432.380661183848,196.749314754959,10.12,3.75,13.87
0.6,16,5,1,0.109785017509688,451.725026261644,162.606141947806,10.16,3.75,13.91
0.6,22.9,5,1,0.181188496184461,541.473001373743,248.599931066008,10.229,3.75,13.979
0.6,28.1,5,1,0.211702746573749,535.476046126194,257.4215187724,10.281,3.75,14.031
0.6,45.6,5,1,0.284019936648894,525.087818103423,304.479297169799,10.456,3.75,14.206
0.6,4.93,5,2,0.031027582130794,174.39351794581,38.6082366218593,10.0493,7.5,17.5493
0.6,10.3,5,2,0.130175093789807,546.922186126584,178.467393324407,10.103,7.5,17.603
0.6,12,5,2,0.132711754529854,593.382772018745,187.212330908461,10.12,7.5,17.62
0.6,16,5,2,0.081590884607701,476.042922827097,125.2092242011,10.16,7.5,17.66
0.6,22.9,5,2,0.117592167675465,649.316591049794,184.163991331569,10.229,7.5,17.729
0.6,28.1,5,2,0.134283833164145,774.323952807338,212.499332835089,10.281,7.5,17.781
0.6,45.6,5,2,0.318681020784572,1049.72059924545,505.04789811213,10.456,7.5,17.956
0.6,4.93,5,3,0.0310275825291478,174.393517182423,38.6082207986528,10.0493,11.25,21.2993
0.6,10.3,5,3,0.130175313194722,546.922157353727,178.467635450551,10.103,11.25,21.353
0.6,12,5,3,0.132677005484483,593.383801901756,187.16675677977,10.12,11.25,21.37
0.6,16,5,3,0.0815908697143042,476.042950589319,125.209201964158,10.16,11.25,21.41
0.6,22.9,5,3,0.117592066244445,649.316600244951,184.163790264927,10.229,11.25,21.479
0.6,28.1,5,3,0.13428406375088,774.322010411541,212.499673234692,10.281,11.25,21.531
0.6,45.6,5,3,0.208222405012738,1140.43969838581,333.699025272009,10.456,11.25,21.706
0.6,4.93,5,4,0.0310226108870201,174.393757803656,38.6031765932644,10.0493,15,25.0493
0.6,10.3,5,4,0.13017474790944,546.922218549936,178.467005933201,10.103,15,25.103
0.6,12,5,4,0.132698464095903,593.382781927689,187.19437471867,10.12,15,25.12
0.6,16,5,4,0.081590902176493,476.042874127553,125.20925172947,10.16,15,25.16
0.6,22.9,5,4,0.11759214550209,649.316595872529,184.163946519056,10.229,15,25.229
0.6,28.1,5,4,0.134283801950895,774.324183903349,212.499282587663,10.281,15,25.281
0.6,45.6,5,4,0.208222386969514,1140.43970384499,333.698995088975,10.456,15,25.456
0.6,4.93,6,1,0.033433407380124,197.943639833379,44.0216161363565,12.05916,3.75,15.80916
0.6,10.3,6,1,0.159241099521283,447.463072641997,185.178615579516,12.1236,3.75,15.8736
0.6,12,6,1,0.175182915871306,456.557366189477,190.868576704065,12.144,3.75,15.894
0.6,16,6,1,0.13494650578809,521.417762763522,195.083444200116,12.192,3.75,15.942
0.6,22.9,6,1,0.210360768885329,531.42509686504,258.564288375497,12.2748,3.75,16.0248
0.6,28.1,6,1,0.249715387988299,527.152866455846,282.799764670228,12.3372,3.75,16.0872
0.6,45.6,6,1,0.296370971805166,519.78678758458,309.389962251317,12.5472,3.75,16.2972
0.6,4.93,6,2,0.0334334117278388,197.943618027762,44.0214378556424,12.05916,7.5,19.55916
0.6,10.3,6,2,0.111551608241261,562.377110945816,162.904077932324,12.1236,7.5,19.6236
0.6,12,6,2,0.120406377297094,617.598221854339,178.680452075064,12.144,7.5,19.644
0.6,16,6,2,0.0981246986916396,557.07465768841,154.227850270793,12.192,7.5,19.692
0.6,22.9,6,2,0.135704697620524,757.893928899563,215.85923605113,12.2748,7.5,19.7748
0.6,28.1,6,2,0.170161771158821,899.25411792506,272.136740366363,12.3372,7.5,19.8372
0.6,45.6,6,2,0.345976074423342,1039.34337584744,529.451679075699,12.5472,7.5,20.0472
0.6,4.93,6,3,0.0334334992366031,197.943614994375,44.0211404840596,12.05916,11.25,23.30916
0.6,10.3,6,3,0.111552081652966,562.377200246908,162.904736612445,12.1236,11.25,23.3736
0.6,12,6,3,0.120426690936632,617.821170766925,178.709031786268,12.144,11.25,23.394
0.6,16,6,3,0.0981246989201695,557.074658004678,154.227851376129,12.192,11.25,23.442
0.6,22.9,6,3,0.135704791826539,757.894046681887,215.859405427194,12.2748,11.25,23.5248
0.6,28.1,6,3,0.170161766058594,899.254118045222,272.136730153062,12.3372,11.25,23.5872
0.6,45.6,6,3,0.233501158498096,1294.81176043825,375.248516625628,12.5472,11.25,23.7972
0.6,4.93,6,4,0.0334334869068804,197.943617568661,44.0211430622916,12.05916,15,27.05916
0.6,10.3,6,4,0.11155207361753,562.377199823114,162.904742480024,12.1236,15,27.1236
0.6,12,6,4,0.119092458407422,617.941591560118,176.829252520093,12.144,15,27.144
0.6,16,6,4,0.0981247002428204,557.074664344512,154.227848738208,12.192,15,27.192
0.6,22.9,6,4,0.135704867999015,757.893485851163,215.859666137684,12.2748,15,27.2748
0.6,28.1,6,4,0.170161769977178,899.254116881358,272.136738413361,12.3372,15,27.3372
0.6,45.6,6,4,0.233501187416483,1294.81192222646,375.248561525878,12.5472,15,27.5472
0.6,4.93,7,1,0.0363184609335373,222.5879404682,51.8792207269403,14.06902,3.75,17.81902
0.6,10.3,7,1,0.156828798497745,464.133693334531,191.616636344673,14.1442,3.75,17.8942
0.6,12,7,1,0.176107101994338,470.609911524788,199.757609025125,14.168,3.75,17.918
0.6,16,7,1,0.168513957675455,532.527197377004,238.71366457866,14.224,3.75,17.974
0.6,22.9,7,1,0.245945598887675,525.239955775752,288.703554492467,14.3206,3.75,18.0706
0.6,28.1,7,1,0.275391521270075,522.054693983682,314.379276617046,14.3934,3.75,18.1434
0.6,45.6,7,1,0.304478140398444,516.57704145151,317.589258199203,14.6384,3.75,18.3884
0.6,4.93,7,2,0.0363185048832448,222.587924115321,51.879346631078,14.06902,7.5,21.56902
0.6,10.3,7,2,0.111638866395982,589.17648776556,168.516483343507,14.1442,7.5,21.6442
0.6,12,7,2,0.122646760885706,652.809138395241,187.807232391784,14.168,7.5,21.668
0.6,16,7,2,0.108914263729424,636.021044468857,172.845113023692,14.224,7.5,21.724
0.6,22.9,7,2,0.162030566226885,861.928149023911,259.530545063703,14.3206,7.5,21.8206
0.6,28.1,7,2,0.230974913033567,998.926999620184,365.270215451936,14.3934,7.5,21.8934
0.6,45.6,7,2,0.377116203907696,1032.99213868373,558.048823016999,14.6384,7.5,22.1384
0.6,4.93,7,3,0.0363185028972959,222.587928080256,51.8793273583925,14.06902,11.25,25.31902
0.6,10.3,7,3,0.111832189142495,589.188897878259,168.984985020139,14.1442,11.25,25.3942
0.6,12,7,3,0.122643757694213,652.809482817352,187.801885955409,14.168,11.25,25.418
0.6,16,7,3,0.108914240040674,636.021061428372,172.845079709591,14.224,11.25,25.474
0.6,22.9,7,3,0.162028751844707,861.927289934579,259.527179776675,14.3206,11.25,25.5706
0.6,28.1,7,3,0.188756541360943,1015.90417644485,302.770114301851,14.3934,11.25,25.6434
0.6,45.6,7,3,0.262153716696559,1424.69623364069,423.103641554839,14.6384,11.25,25.8884
0.6,4.93,7,4,0.0363184806224525,222.587930231791,51.8792836806397,14.06902,15,29.06902
0.6,10.3,7,4,0.111828527452996,589.152891298315,168.925870330681,14.1442,15,29.1442
0.6,12,7,4,0.122487424307723,652.804823394209,187.460719676131,14.168,15,29.168
