motor_disp,number_of_motors,number_of_valves,error_rms,flow_max,flow_rms,motor_cost,valve_cost
4.93,5,4,0.0263219611336704,174.557482360553,57.6769363475442,10.0493,17.5
10.3,5,4,0.134702437066888,548.277578861331,242.798807791287,10.103,17.5
12,5,4,0.151676262710936,596.321117338749,281.906074721897,10.12,17.5
16,5,4,0.107457744370111,481.542565073666,225.258962521597,10.16,17.5
22.9,5,4,0.152422896022289,662.599452472956,325.645931262105,10.229,17.5
28.1,5,4,0.184465409861957,797.27196714818,397.700432644441,10.281,17.5
45.6,5,4,0.267450109554027,1209.63139511244,582.639261159707,10.456,17.5
4.93,6,1,0.0302630187760461,198.073199401748,59.5992920055493,12.05916,4.375
10.3,6,1,0.172843536053821,447.459681290034,266.922992885829,12.1236,4.375
12,6,1,0.182804583999074,456.553871316473,275.208389317678,12.144,4.375
16,6,1,0.149123394052475,527.773580891507,300.312000446688,12.192,4.375
22.9,6,1,0.199662872140383,531.424227659292,351.417431445412,12.2748,4.375
28.1,6,1,0.216126943438314,527.152552582111,355.00980121301,12.3372,4.375
45.6,6,1,0.248574075184959,519.778120185985,380.539078118127,12.5472,4.375
4.93,6,2,0.0300582708938429,198.042523583818,59.5883939603089,12.05916,8.75
10.3,6,2,0.122759543212629,565.127505299648,237.1564641261,12.1236,8.75
12,6,2,0.134204465777233,622.078260514961,264.630953677277,12.144,8.75
16,6,2,0.132918833246901,565.092937201298,284.542540035391,12.192,8.75
22.9,6,2,0.177824813750265,778.9546635492,385.719327913446,12.2748,8.75
28.1,6,2,0.218566315653588,934.535903977248,475.725949106017,12.3372,8.75
45.6,6,2,0.34476186484827,1039.3342964411,707.810580068502,12.5472,8.75
4.93,6,3,0.0303374064434559,198.033115527925,59.932262747217,12.05916,13.125
10.3,6,3,0.121940565854471,565.062254433541,235.814991000095,12.1236,13.125
12,6,3,0.131990000454169,622.105892018,259.929943068661,12.144,13.125
16,6,3,0.129034786281308,565.097040988837,275.162143531143,12.192,13.125
22.9,6,3,0.181238398771533,778.853281516125,392.995180361257,12.2748,13.125
28.1,6,3,0.214337330371787,934.54691836329,466.018426318373,12.3372,13.125
45.6,6,3,0.284734215945767,1396.66430734893,615.777077406377,12.5472,13.125
4.93,6,4,0.0301399283298397,198.054961567277,59.7561913477116,12.05916,17.5
10.3,6,4,0.125890999576771,565.084796578316,243.688926712064,12.1236,17.5
12,6,4,0.133073389453452,622.107494181233,261.554497397991,12.144,17.5
16,6,4,0.133107929096291,565.06972337538,283.981492455248,12.192,17.5
22.9,6,4,0.177125977089594,778.955475277058,384.347496207545,12.2748,17.5
28.1,6,4,0.212423547746345,934.608424603577,463.04504972781,12.3372,17.5
45.6,6,4,0.308114547730661,1396.71386826545,675.965026376422,12.5472,17.5
4.93,7,1,0.0381697107329821,222.811559012138,76.5620770019247,14.06902,4.375
10.3,7,1,0.169167276149483,464.133148082069,277.58451838879,14.1442,4.375
12,7,1,0.184333419896025,470.608583035539,290.028488689491,14.168,4.375
16,7,1,0.175635536460022,532.518040578059,339.363654217567,14.224,4.375
22.9,7,1,0.214111448512328,525.239493379393,357.226567313124,14.3206,4.375
28.1,7,1,0.234554887881666,522.049225126884,381.529281719927,14.3934,4.375
45.6,7,1,0.251129882972802,516.566066673708,379.799759719765,14.6384,4.375
4.93,7,2,0.036947737828905,222.817594383907,75.4274416903926,14.06902,8.75
10.3,7,2,0.128680668565127,593.209891381099,260.024950668547,14.1442,8.75
12,7,2,0.133219152944295,659.070910327003,272.867564957245,14.168,8.75
16,7,2,0.151007128527932,648.208506600223,325.673747170325,14.224,8.75
22.9,7,2,0.203257329368519,892.673115722704,442.277976356346,14.3206,8.75
28.1,7,2,0.333449309938995,1043.733690895,716.76919475144,14.3934,8.75
45.6,7,2,0.354844912563665,1032.99195890025,716.372520234475,14.6384,8.75
4.93,7,3,0.0376846222258359,222.8206260221,75.9221879196214,14.06902,13.125
10.3,7,3,0.128612140785016,593.210219342852,258.656068655308,14.1442,13.125
12,7,3,0.126988472277859,659.072229803742,261.046126920246,14.168,13.125
16,7,3,0.151930301733351,648.314059616837,327.856543399377,14.224,13.125
22.9,7,3,0.199777705096366,892.627664292286,434.870680219753,14.3206,13.125
28.1,7,3,0.238962602437151,1066.04650161048,521.928649937033,14.3934,13.125
45.6,7,3,0.416972145142119,1549.28009617079,905.903667667863,14.6384,13.125
4.93,7,4,0.0363022188354588,222.820996713845,73.6133128819808,14.06902,17.5
10.3,7,4,0.125628249936153,593.235887771364,253.922293735236,14.1442,17.5
12,7,4,0.128247987324717,659.074550275791,263.415401194535,14.168,17.5
16,7,4,0.15327448007765,648.199267450446,331.026410788997,14.224,17.5
22.9,7,4,0.207458106975643,892.310956530687,449.312308042344,14.3206,17.5
28.1,7,4,0.246108618279467,1066.53077315696,533.861591768722,14.3934,17.5
45.6,7,4,0.348803699188577,1566.52574575656,761.165100157798,14.6384,17.5
4.93,8,1,0.0463317661147593,248.411844188576,94.090939966724,16.07888,4.375
10.3,8,1,0.174984996512589,474.672544713251,290.572804318297,16.1648,4.375
12,8,1,0.190563934301117,479.528840235228,306.897588940256,16.192,4.375
16,8,1,0.188310177914995,526.826090399352,341.889609254273,16.256,4.375
22.9,8,1,0.228767923458437,521.174669989952,380.380971207955,16.3664,4.375
28.1,8,1,0.242003797789129,518.698871547247,383.920146728638,16.4496,4.375
45.6,8,1,0.254330661825254,514.466422425267,382.191147617211,16.7296,4.375
4.93,8,2,0.0469717309993814,248.411567809185,95.9306087644577,16.07888,8.75
10.3,8,2,0.1264532249651,628.269195984986,260.594130325605,16.1648,8.75
12,8,2,0.1483804418005,702.605773517221,309.495179118122,16.192,8.75
16,8,2,0.169407747584366,730.298578729303,366.477602142288,16.256,8.75
22.9,8,2,0.268025313219941,985.850339393589,571.979156045489,16.3664,8.75
28.1,8,2,0.340195595433771,1037.15226904818,718.837109200536,16.4496,8.75
45.6,8,2,0.363904193606471,1028.83878734936,726.596707285932,16.7296,8.75
4.93,8,3,0.048888702525331,248.411982307174,99.0511762722535,16.07888,13.125
10.3,8,3,0.131611065354711,628.269297859542,271.890645642413,16.1648,13.125
12,8,3,0.141917507773634,702.59307853792,297.084655385311,16.192,13.125
16,8,3,0.169056349353881,730.192246097368,366.450648823028,16.256,13.125
22.9,8,3,0.219495108960365,1001.98095658881,478.085603900603,16.3664,13.125
28.1,8,3,0.274754672872589,1192.02422860894,596.591713664504,16.4496,13.125
45.6,8,3,0.484954782977638,1543.11833314882,1038.33516349276,16.7296,13.125
4.93,8,4,0.0466291141908156,248.412044062251,94.4647672652975,16.07888,17.5
10.3,8,4,0.127269965585969,628.23462668236,262.768165575834,16.1648,17.5
12,8,4,0.145818366193054,702.728903107172,304.96323243298,16.192,17.5
16,8,4,0.159993684008113,730.225938808726,350.983043089104,16.256,17.5
22.9,8,4,0.227517142141443,1002.020194856,495.561826821876,16.3664,17.5
28.1,8,4,0.285298184290086,1192.01052838719,621.799557681183,16.4496,17.5
45.6,8,4,0.369468670359444,1718.73531243081,807.346696923081,16.7296,17.5
